stop_id,stop_name,stop_lat,stop_lon
33093,Vadgaon BK Highway,18.466260000000002,73.817
16709,Bahirwade Kridangan,18.66176,73.80792
33094,Nanded City,18.45709,73.80149
33095,Suskhind Phata Sus Road,18.54729,73.77274
33097,Mile Dagad Kramank 21 Diveghat,18.421120000000002,73.98888000000001
33099,Surgeon Quarters,18.554270000000002,73.85664
33100,Jilha Parishad,18.5238,73.86994
33101,Sortapwadi,18.48797,74.09902
33103,Shanipar,18.51223,73.85378
33104,Kutalevasti,18.562260000000002,74.04708000000001
33105,Peth,18.34737,73.75745
33106,Siddhivinayak Vastu,18.482570000000003,73.93145
33108,Gandharvanagari,18.6482,73.85063000000001
33109,ARDL Office,18.53801,73.80232
33110,Kendurgaon,18.78274,74.04111999999999
33111,Shikshaknagar,18.51023,73.80332
33112,Sai Chowk Navi sangvi,18.57861,73.81603
33113,Kale Colony,18.49575,73.93293
33114,PCP College Chowk,18.65052,73.76304
33115,General Motors,18.789270000000002,73.69447
33116,Girls Hostel,18.47361,73.9317
33117,Nandgude Shala,18.58246,73.78335
33118,Shitaladevi Chowk Pimplegurav,18.581979999999998,73.82998
33119,Keshavnagar Chowk,18.53201,73.93722
33120,Vitthal Mandir Hadapsar,18.508010000000002,73.94165
33121,Newale Chowk,18.66424,73.80707
33123,Goodluck Chowk,18.5176,73.84146
33124,Jilha Parishad Shala,18.34714,73.7928
33125,Vipraj Company,18.71699,73.67827
33126,Anand Park,18.55592,73.80915
33128,Dhangarvasti,18.50755,74.11239
33129,Vetalbaba Chowk,18.5291,73.83076
33130,Patrakarnagar,18.52419,73.82777
33133,Tolani Institute,18.73805,73.73079
33137,Daulatnagar Dhankawadi Road,18.46392,73.85661999999999
33138,Sant Gadge Maharaj Shala,18.5343,73.88576
33139,United Western Sabhagrugha,18.4932,73.8278
33140,MSB Pumping Station,18.5375,73.79626
33141,Sangvi Phata,18.573539999999998,73.80623
33145,Mandai Stand,18.51513,73.85637
33146,Jawalgaon,18.59117,73.6107
33147,Shindevasti Burkegaon,18.61906,74.11154
33149,Kasarsai,18.62783,73.67857
33150,Manajinagar,18.45346,73.82444
33151,Shreeman Society,18.49205,73.82024
33152,Saibaba Mandir Materewadi,18.56781,73.66213
386,Ma Na Pa,18.52382,73.85410999999999
33155,Gajanan Maharaj Mandir Alandi Road,18.63188,73.87263
33158,Spicer College,18.562829999999998,73.81808000000001
33159,Udaybaug,18.51118,73.9071
33161,Malwadi Markal Road,18.65456,74.01468
33162,Kalukh Shetmala,18.68075,74.04199
33163,Railway Gate Uralikanchan,18.495260000000002,74.12448
33164,Shinde Chhatri,18.492620000000002,73.89435999999999
33165,Kondhwa Kh,18.47281,73.88916
33166,Gaurdroom,18.56602,73.89527
33168,Malkhed,18.39322,73.70283
33170,Chutkevasti,18.501279999999998,73.74458
33171,Gorhe Bk Shala,18.41797,73.75788
33172,Ganeshmala,18.49641,73.83877
33173,Jyoti English School,18.63053,73.82387
33174,Shreenagar,18.607960000000002,73.78102
33175,Kousarbaug,18.47785,73.89093000000001
33176,MM School,18.614929999999998,73.78551999999999
33177,Ladies Hostel,18.46121,73.87743
33178,Kalubai Mandir Ramtekdi,18.5064,73.90663
33179,Kamala Nehru Hospital,18.522560000000002,73.8622
33180,Vajewadi Chaufula,18.71582,74.04668000000001
33183,Sahwas Corner,18.492620000000002,73.81838
33184,Mahindra Company,18.6285,73.80752
33185,Mundhwa Gaon,18.53252,73.93281
33186,Sant Company,18.51763,73.64394
33187,Station Family Camp,18.523239999999998,73.88685
33188,Ingale Hospital,18.61879,73.79274000000001
33189,Salve Garden,18.45826,73.87796999999999
33190,Karvenagar Corner,18.48907,73.81523
33191,Mandvi Kh,18.41423,73.70907
33192,Mundhwagaon,18.53284,73.93369
33193,Salve Garden,18.458,73.87794
33195,Pawarvasti Chikhali Road,18.66682,73.81499000000001
33196,Zendewadi,18.41524,74.00554
33198,Kawdewadi,18.53787,73.89256
33200,Shatrunjay Mandir,18.45058,73.87961
33201,Vasantbaug,18.4809,73.86145
33202,U Co Bank,18.479029999999998,73.89065
33204,Hotel Rajyog,18.54879,73.66851
437,Bhairav Nagar,18.58269,73.88313000000001
33207,Juna Pulgate,18.505860000000002,73.87846
440,Dhanori Gaon,18.59544,73.89438
33208,Bavdhangaon,18.51539,73.78214
441,Dhanori Shala,18.59212,73.89052
33210,Cipla Center,18.48546,73.79800999999999
442,Gokul Nagar,18.58775,73.88701
33211,Bhumkarnagar,18.4493,73.83435
33212,Urawdegaon,18.48602,73.66415
444,Holkar Pool,18.55511,73.86073
33213,Santnagar MIDC Police Station,18.650760000000002,73.83988000000001
33214,Tapkirnagar Moshi Road,18.67313,73.88815
446,Jakatnaka,18.597260000000002,73.90644
447,Kamal Park,18.597379999999998,73.90085
33220,Gopi Chal,18.56754,73.83888
33222,Kokate Aali,18.53898,73.79381
33226,Ambedkarnagar Pimplegurav,18.59244,73.81902
33227,Baner Phata,18.549879999999998,73.80976
460,Sathe Biscuit,18.57055,73.87889
33228,Kudje Shala,18.42745,73.73997
461,Sathe Nagar,18.59743,73.91481999999999
33229,Sanewadi,18.553379999999997,73.80946999999999
33231,Ranwarevasti,18.54809,73.77054
33232,Sundarban,18.44902,73.87001
467,Swargate,18.49928,73.85817
33235,Oskar Company,18.51115,73.68414
469,Abhinav College,18.50589,73.85295
33237,Shindevasti Mundhwa,18.53109,73.94036
33239,Manikchand Dhariwal Sinhagad College,18.48997,73.79149
33240,Dattawadi,18.501170000000002,73.83927
474,Fergusson College,18.523,73.84085999999999
475,Dyaneshwer paduka,18.52647,73.84179
33244,Rajendranagar,18.504920000000002,73.84331
33245,SNZ Chemical Company,18.546210000000002,73.66554000000001
478,Bhairav Nagar,18.58964,73.88847
33246,Ramanbaug Shala,18.51732,73.85013000000001
480,Dagdi Khaan,18.57594,73.88049000000001
33249,Badhevasti,18.53265,73.9345
33250,Rajas Society Corner,18.44817,73.86411
484,Gokul Nagar,18.591929999999998,73.89057
33252,Jilha Parishad,18.52382,73.86995999999999
33253,North Len,18.53787,73.89255
33254,Katraj,18.44749,73.85961
486,Holkar Pool,18.554679999999998,73.86025
33255,Ladies Hostel,18.46124,73.87744
488,Jakatnaka,18.597160000000002,73.9064
33256,ITI Saswad Road,18.38886,74.01463000000001
33257,Nehru Stadium,18.50111,73.85551
33258,Shivtarwadi Phata,18.34364,73.77402
491,Madhav Nagar,18.597089999999998,73.90061999999999
33259,Mahadevnagar Hingne,18.475089999999998,73.82916999999999
33260,Manjari Kh,18.52755,73.99169
33262,Bhairoba Pumping Station,18.53914,73.90160999999999
494,Modern High School,18.52476,73.84938000000001
33263,Dattamandir Shivapurgaon,18.339270000000003,73.83874
33264,Govind Garden Chowk,18.59761,73.80292
33265,YCM Hospital,18.62332,73.81844
33266,Khadi Machine Katraj Kondhwa Road,18.45293,73.89095
33267,Jijamata Chowk,18.72157,73.68445
33268,Dhankawadi,18.4654,73.85014
33269,Godambevasti,18.54159,73.67984
503,Sathe Biscuit,18.570320000000002,73.87904
33271,GPO,18.523020000000002,73.87637
33272,Mitti Ka Ghar,18.51912,73.88225
505,Torna garden,18.59805,73.90883000000001
33273,ITI Aundh,18.560270000000003,73.80913000000001
33277,Darshan Hall,18.62952,73.78686
33278,Godown Katraj Kondhwa Road,18.4539,73.88593
33280,Rajaram Pul Corner,18.48935,73.82672
33282,Gajanan Maharajnagar,18.46325,73.87756
33283,Ramnagari,18.44888,73.84316
516,Ambedkar Society,18.553,73.87375
33284,Sant Dharmaji Samadhi,18.42667,73.75416
517,Deccan College,18.54993,73.8718
33285,MES Canteen IAT,18.431520000000003,73.76945
518,Homeguard,18.55623,73.87517
33286,PAndT Colony,18.4925,73.86941
519,Mental Hospital,18.56651,73.87875
33287,Bhondvevasti Nagar Road,18.69855,74.04476
520,Phule Nagar,18.5599,73.87644
33288,5 Wa Mile,18.56229,73.92295
521,Ambedkar Society,18.55273,73.87366
522,Deccan College,18.55009,73.87196999999999
33291,Dehuroad Police Lane,18.68631,73.72218000000001
524,Mental Hospital,18.5662,73.87865
33293,Prachi Apartment,18.64573,73.77032
525,Phule Nagar,18.55958,73.87642
526,Panyachi Taki,18.59754,73.91975
33294,Rihegaon,18.57676,73.64174
527,Panyachi Taki,18.59746,73.9209
33295,Sai Corner,18.59212,73.89209
528,Homeguard,18.55588,73.87515
33296,Parvati Gaon,18.493660000000002,73.85034
33298,Tamhane Chowk,18.561729999999997,73.7923
33299,Karachi Chowk,18.621229999999997,73.80167
33300,Mohitevasti,18.63789,73.74461
33301,Police Chowky,18.3468,74.02939
33302,Punawale,18.63905,73.7477
535,Ganesh Nagar Corner,18.59757,73.87317
33303,Kate Patil Chowk,18.59909,73.80781
33304,Dattawadi Mhasoba Chowk,18.50151,73.83915
33305,Dnyanesh Society,18.477999999999998,73.79827
537,Walake Mala,18.60666,73.87335
33306,Maruti Mandir Wes,18.52357,73.98532
538,Dighi Gaon,18.60969,73.87317
33308,Morwadi,18.630589999999998,73.80299000000001
33309,Lavlegaon,18.52739,73.70339
33310,Shewalwadi Rehe,18.55736,73.66811
33312,Kamgarnagar,18.62908,73.81219
33314,Police Vasahat Gokhalenager,18.52352,73.82526999999999
33315,Shivtharwadi,18.34374,73.77660999999999
33316,Vikasnagar,18.67215,73.7323
33317,PMT Chowk Bhosari,18.62048,73.85056
33318,Jagtap Dairy,18.5933,73.78421
33319,Dhamalevasti Mundhwa,18.53154,73.93233000000001
552,Navin S T Stand,18.67236,73.89239
33322,Shivshankar Super Market,18.44071,73.86518000000001
33323,Pimplesaudagar Chowk,18.6007,73.80308000000001
33324,Fujitsu Company,18.704710000000002,73.79126
556,Vitthal Baba Darga,18.68091,73.90035999999999
33325,Protacto Company,18.77601,73.87013
33326,Shivnagar,18.54016,73.78007
33327,Kate Patil Chowk,18.599420000000002,73.80729000000001
33330,Chaudharibaug,18.47147,74.07256
33331,Fadtarevasti,18.6503,74.0571
563,Gavhanevasti,18.70925,73.93070999999999
33334,Pisoligaon,18.44942,73.90807
33335,Jadhavwadi Phata Chikhali,18.680320000000002,73.83254000000001
33337,Poultry Farm Anisha,18.404729999999997,73.68243000000001
33339,Rajwade Bungalow,18.50749,73.77301
33340,Udaybaug,18.51093,73.907
33341,Gaikwadvasti Nandegaon,18.54635,73.71354000000001
33344,Diamond Wach Company,18.350379999999998,73.80555
33345,Mandvi Bk,18.4088,73.70499000000001
33346,Mantarwadi,18.465510000000002,73.96242
33347,Hagawanevasti,18.43884,73.79303
33348,Sasanenagar,18.492620000000002,73.93218
580,Ganeshnagar,18.59368,73.86413
581,Jeevannagar Hospital,18.59115,73.86327
33350,Ramtekdi,18.50624,73.91295
33353,Ganganagar Pradhikaran,18.64735,73.77660999999999
586,Sangamwadi phata,18.53653,73.86231
33354,Wadia Bungalow,18.54942,73.89299
587,Kendriya Vidyalaya,18.545370000000002,73.87619000000001
33355,Pawarvasti Chikhali Road,18.66327,73.81416
33358,Mariaai Mandir,18.50021,73.75343000000001
33359,Optonica Company,18.61724,73.84378000000001
33360,Thubevasti,18.57289,74.0222
33361,Suskhind Phata Sus Road,18.54701,73.7729
33364,Railway Gate Number 1,18.494529999999997,74.12856
33365,Bahiratwadi,18.457720000000002,73.96356999999999
598,Tingre Nagar Grampanchayat,18.57699,73.89059
599,Vidyanagar,18.579710000000002,73.8904
600,Yerwada Gaon,18.54551,73.8866
33368,Mahadev Mandir Pimple Saudagar,18.601770000000002,73.79937
33369,ST Stand Indori,18.73529,73.70886
602,Netaji High School,18.55184,73.88939
603,Bidi Kamgar Vasahat,18.55323,73.88273000000001
33372,Mile Dagad Kramank 19 Diveghat,18.42427,73.9825
33373,Warje Malwadi,18.4756,73.7956
33374,Mayurnagari,18.58672,73.81289
33375,Shivnagar,18.53888,73.78475
608,Durvankur Lawns,18.62593,73.8622
33376,Chimbli Phata,18.69599,73.84758000000001
33378,Railway Crossing Mhatobachi Alandi,18.46384,74.07123
33379,Kumbharvasti Pashan,18.54092,73.77903
611,Bhosari,18.62462,73.85127
612,Magazine,18.63253,73.87343
33381,Deep Bungalow,18.529870000000003,73.8355
617,Mira Society,18.502010000000002,73.87233
33385,Bhaurao Patil Chowk,18.56606,73.83142
33386,Anandnagar Sinhagad Road,18.47866,73.82439000000001
33387,PC Pole Company,18.63867,74.05473
620,Bombay Garage,18.51272,73.87997
33390,Gokul Hotel,18.624670000000002,73.80339000000001
33391,Matalwadi Khanapur,18.40344,73.74274
624,Tapkir nagar,18.65985,73.89565999999999
33393,Rajiv Gandhinagar,18.46005,73.86916
33394,Ashoknagar Rangehills,18.54186,73.83743
627,Dabhade Vasti,18.65728,73.89905999999999
33396,Naigaon Phata,18.48836,74.07037
33397,Pooja Hospital,18.59001,73.81955
630,R&D colony,18.57709,73.87661
33398,Panyachi Taki Kendur,18.72723,74.05634
33400,Indrayani Vihar,18.59521,73.93439000000001
633,Mhaskewasti,18.58713,73.87524
634,Parade ground,18.590970000000002,73.87444
33402,Undrigaon,18.45071,73.91587
635,Ganesh Nagar Corner,18.597260000000002,73.87337
33403,NCL Hostel,18.54082,73.82123
33405,Alhatvasti,18.67621,73.85441
33406,Poultry Farm Darshan,18.64019,73.65899
639,Parande Nagar,18.61792,73.87416
33408,Chaudhari Dhaba,18.673379999999998,73.84885
33409,Sanakta Company,18.51771,73.6487
33410,Ramnagar Rahatni,18.603270000000002,73.79244
33411,Shitaladevi Chowk Pimplegurav,18.58085,73.83
33413,Bhagwat Mangal Karyalay,18.62995,73.67474
33415,Chudaman Talim,18.5083,73.87489000000001
33416,KSB Chowk,18.651310000000002,73.80960999999999
33417,Ganeshnagari,18.530089999999998,73.94369
33420,Gokhalenagar Vasahat,18.52489,73.8269
33421,Dhangar Baba,18.471320000000002,73.79034
33422,Mental Corner,18.564770000000003,73.87699
33424,Kanifnath Society,18.49536,73.93279
658,Thakur Vasti,18.685579999999998,73.90531999999999
33428,Durvankur Mangal Karyalay,18.62598,73.86239
33429,Bhondvevasti Ravet,18.65353,73.73761
661,Shivam Industries,18.69855,73.92
33430,Kondhur Phata,18.43812,73.63797
33431,Chintamaninagar Sasanenagar,18.48725,73.93184000000001
