Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
0,0,0,2,0,0,0,0,0,0
1,4,0,14,3,4,5,11,4,6
20,8,2,14,5,3,8,3,2,11
0,0,0,3,0,3,0,0,0,1
4,4,0,4,3,3,6,5,3,4
1,4,0,4,1,1,7,3,20,4
2,3,0,19,6,4,18,7,6,11
0,2,1,9,1,3,5,5,17,3
7,9,3,16,4,1,21,7,15,6
6,1,0,6,2,4,2,3,18,6
0,0,0,0,0,0,0,0,0,0
0,5,0,5,0,4,1,0,0,7
2,1,0,6,0,1,5,0,13,0
0,0,0,3,0,4,0,0,0,1
3,3,0,24,5,6,17,7,16,11
0,0,0,0,0,1,1,0,0,0
1,2,1,11,4,4,7,4,15,0
0,0,0,3,0,1,0,0,0,2
2,3,0,4,3,4,6,14,4,4
4,4,0,35,10,5,14,6,15,3
1,3,1,12,2,7,4,6,4,0
0,0,0,0,0,1,2,0,3,0
0,3,0,2,0,0,4,0,4,0
6,5,1,5,1,2,5,2,6,4
3,4,0,14,1,3,4,4,3,1
0,4,0,4,1,3,13,6,5,2
1,4,0,31,5,2,8,3,5,1
1,2,0,4,0,2,10,3,12,0
0,0,0,0,0,0,0,0,0,0
1,4,0,13,2,4,5,12,4,5
0,4,0,4,0,1,3,1,3,0
5,4,0,6,1,4,7,6,13,4
5,2,2,40,9,7,14,3,12,9
8,11,3,39,4,4,21,8,19,10
0,5,0,4,0,3,7,4,14,0
0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,1,0
0,5,0,2,0,0,1,1,0,0
0,0,0,3,0,0,4,0,13,1
0,0,0,0,0,0,0,0,0,0
4,4,0,20,2,2,8,4,8,2
0,0,0,1,0,0,6,0,3,0
5,9,0,11,5,6,8,5,4,4
8,11,3,32,4,4,21,8,16,8
3,4,0,19,5,5,12,9,14,9
2,4,1,9,5,4,7,4,11,0
2,4,0,5,2,6,4,3,17,7
7,8,1,31,6,4,24,7,9,2
5,10,0,49,5,3,24,1,33,20
2,1,0,3,0,2,6,4,7,3
0,0,0,2,0,2,13,1,10,1
6,3,3,27,7,5,14,3,13,4
6,2,2,54,8,10,14,9,20,7
1,7,3,11,4,1,8,4,14,3
0,2,0,6,2,2,4,2,12,2
3,4,0,7,0,2,3,0,5,5
0,3,0,2,0,0,4,0,4,0
0,2,1,12,0,2,4,7,0,4
4,5,0,42,4,3,12,8,8,2
1,3,0,4,0,5,2,4,8,0
0,0,0,0,0,0,0,0,0,0
5,4,0,29,4,7,21,8,16,10
0,2,1,12,0,2,4,7,0,4
0,0,0,1,0,0,1,0,2,0
3,4,0,6,0,1,3,0,5,5
4,5,0,42,4,3,12,9,8,2
